freq,a1_f2,a2_f2,a3_f2,a4_f2,a5_f2,a6_f2,a1_f4,a2_f4,a3_f4,a4_f4,a5_f4,a6_f4
0.1,0.035900794,0.009532609,247.05695,0.002364151,350.47543,57.371662,2.0762664e-05,0.1,200.09616,6.208415e-21,350.00073,500.0
0.1096478196143185,0.040887676,0.009627298,243.6984,0.0028151383,350.74136,62.53253,3.3043383e-05,0.1,200.07382,3.4735847e-20,350.0009,500.0
0.1148153621496883,0.043775134,0.00965704,242.22397,0.0030756318,350.9237,66.22531,4.1722793e-05,0.1,200.06511,8.266527e-20,350.00098,500.0
0.1288249551693134,0.05157481,0.009819612,241.37482,0.0038151778,351.58304,77.406,7.324956e-05,0.1,200.05528,7.8140046e-19,350.0014,499.99994
0.1318256738556407,0.05323714,0.009865257,241.56459,0.003979758,351.76065,79.9447,8.175138e-05,0.1,200.05458,1.2370304e-18,350.00153,499.99994
0.1380384264602885,0.056678474,0.009966268,242.19164,0.004327825,352.17557,85.34252,0.00010163762,0.1,200.05392,3.1210654e-18,350.0018,499.9998
0.1513561248436208,0.06407667,0.010199264,244.21117,0.005108348,353.31036,97.53627,0.00015623287,0.1,200.05482,2.0252152e-17,350.0027,499.99887
0.1548816618912481,0.06604339,0.010262701,244.84209,0.0053230072,353.6743,100.903915,0.00017381676,0.1,200.05539,3.241301e-17,350.00296,499.9983
0.1778279410038923,0.0789468,0.010676491,249.41983,0.006803893,356.83505,124.16915,0.0003282283,0.1,200.06088,5.519681e-16,350.00558,499.9801
0.2187761623949553,0.1009432,0.011572629,259.71667,0.009904607,366.11462,168.45538,0.0008728377,0.09999999,200.0795,4.0654386e-14,350.01508,499.3569
0.223872113856834,0.103251524,0.011738748,261.51447,0.010356069,367.40466,173.61621,0.0009803753,0.09999999,200.084,6.622184e-14,350.0169,499.08472
0.2290867652767773,0.10551949,0.011918668,263.4644,0.010833766,368.73395,178.78511,0.001102273,0.09999999,200.08922,1.08081966e-13,350.019,498.70657
0.2344228815319922,0.10774969,0.012111656,265.56308,0.011338863,370.10257,183.96118,0.0012404026,0.09999999,200.09521,1.7671827e-13,350.0214,498.1843
0.251188643150958,0.11423093,0.012762757,272.72067,0.013031058,374.4491,199.52066,0.0017745829,0.099999964,200.11867,7.792492e-13,350.0307,495.15613
0.2570395782768864,0.11632478,0.013001971,275.3832,0.013658726,375.98087,204.71251,0.002001508,0.09999994,200.12863,1.280867e-12,350.03467,493.35712
0.2754228703338166,0.1224018,0.013778681,284.14774,0.015754849,380.84155,220.27263,0.0028763535,0.09999986,200.1669,5.7167157e-12,350.05017,483.42636
0.3019951720402016,0.12916742,0.014918245,297.04858,0.018957894,386.93726,240.18187,0.0045360373,0.09999955,200.24431,3.767366e-11,350.08017,452.71194
0.3311311214825911,0.13298,0.016104093,309.74982,0.022248615,390.11584,257.93616,0.006523998,0.099998906,200.36021,1.724465e-10,350.11713,404.29504
0.3630780547701014,0.1352481,0.017335324,322.27872,0.025782693,391.73492,274.69385,0.008962072,0.09999766,200.53004,6.5920785e-10,350.16333,341.12137
0.3981071705534972,0.13658923,0.01862952,334.7682,0.029721774,392.67087,290.8528,0.012051165,0.09999531,200.781,2.3293603e-09,350.2228,269.92972
0.4168693834703354,0.13697086,0.019305713,340.99246,0.03188562,393.02118,298.72632,0.013911608,0.099993385,200.9496,4.3151442e-09,350.259,234.69307
0.436515832240166,0.13715929,0.020004857,347.18488,0.034200355,393.3334,306.45084,0.016025415,0.099990726,201.15642,7.9484455e-09,350.30035,201.58932
0.4570881896148751,0.13714175,0.020730617,353.3266,0.03668227,393.62592,314.0105,0.018427819,0.09998701,201.41103,1.4582945e-08,350.34753,171.72086
0.5011872336272724,0.13640215,0.022284552,365.3738,0.042217873,394.19788,328.55832,0.024251943,0.0999745,202.11597,4.869942e-08,350.46216,123.95545
0.5128613839913648,0.1360517,0.022700062,368.32025,0.04373391,394.34766,332.0535,0.02594953,0.0999698,202.34561,6.575083e-08,350.49557,114.58065
0.5248074602497725,0.13566259,0.023121415,371.22095,0.04528812,394.58182,335.34988,0.027739847,0.09996418,202.59953,8.872973e-08,350.53146,106.23401
0.5370317963702527,0.135241,0.02354776,374.0692,0.04687483,394.9275,338.40552,0.029620558,0.09995743,202.87946,1.1968127e-07,350.5701,98.8569
0.5495408738576245,0.1347789,0.023981646,376.8645,0.04849568,395.38174,341.2313,0.031593967,0.099949315,203.18834,1.613553e-07,350.61166,92.360146
0.5623413251903491,0.13426796,0.024426041,379.60635,0.05015246,395.94223,343.83743,0.033662118,0.09993955,203.52954,2.174431e-07,350.6563,86.65642
0.5754399373371569,0.1336996,0.024884496,382.29443,0.051847164,396.6073,346.23306,0.035826743,0.09992777,203.90692,2.9289734e-07,350.70422,81.662544
0.588843655355589,0.13306493,0.025361205,384.92883,0.053581923,397.376,348.42654,0.038089193,0.09991352,204.32492,3.9436281e-07,350.75552,77.30064
0.6025595860743578,0.13235472,0.025861103,387.50977,0.05535906,398.24765,350.4252,0.040450264,0.09989629,204.78865,5.307445e-07,350.81042,73.49889
0.6165950018614822,0.13155961,0.02639012,390.0379,0.057181187,399.22208,352.2356,0.042910263,0.099875405,205.3041,7.139823e-07,350.86902,70.19178
0.6309573444801932,0.13066977,0.026955256,392.51416,0.059051022,400.29935,353.86316,0.0454687,0.09985005,205.87816,9.600607e-07,350.93146,67.320145
0.6456542290346556,0.12967525,0.027564904,394.9398,0.060971603,401.47992,355.3126,0.0481243,0.09981921,206.51895,1.2903881e-06,350.99783,64.830925
0.6606934480075961,0.1285657,0.028229019,397.31653,0.06294617,402.7643,356.5876,0.05087472,0.09978165,207.236,1.7336203e-06,351.06827,62.67679
0.6760829753919819,0.12733065,0.028959617,399.64655,0.064978324,404.15317,357.69092,0.053716496,0.09973584,208.04054,2.3280907e-06,351.14282,60.815727
0.6918309709189364,0.12595941,0.029771065,401.93243,0.06707188,405.6471,358.6243,0.05664477,0.09967988,208.94589,3.1250827e-06,351.2215,59.210575
0.7079457843841379,0.12444121,0.030680615,404.1775,0.06923103,407.2467,359.38867,0.05965308,0.099611424,209.96791,4.1931858e-06,351.30435,57.828552
0.72443596007499,0.12276521,0.031708993,406.38556,0.07146032,408.95227,359.98398,0.062733,0.09952759,211.12558,5.624139e-06,351.3913,56.640835
0.7413102413009175,0.12092053,0.032881144,408.5611,0.07376466,410.76367,360.40912,0.06587401,0.099424794,212.44173,7.540621e-06,351.4823,55.622086
0.7585775750291838,0.11889659,0.034226973,410.7094,0.076149285,412.6805,360.6621,0.06906298,0.099298626,213.94388,1.0106777e-05,351.57718,54.75007
