station_id,station_latitude,station_longitude,dataRegion,Division,Province,Section,GeoUnit,basin_label_vec,bouguer,vs30,vs30_code_id,basin_label,regional_label_v3,vs_F0_100,vs_F0_126,vs_F0_158,vs_F0_200,vs_F0_251,vs_F0_316,vs_F0_398,vs_F0_501,vs_F0_631,vs_F0_794,vs_F1_000,vs_F1_259,vs_F1_585,vs_F1_995,vs_F10_000,vs_F12_589,vs_F15_849,vs_F19_953,vs_F2_512,vs_F3_162,vs_F3_981,vs_F5_012,vs_F6_310,vs_F7_943,rg_F0_100,rg_F0_126,rg_F0_158,rg_F0_200,rg_F0_251,rg_F0_316,rg_F0_398,rg_F0_501,rg_F0_631,rg_F0_794,rg_F1_000,rg_F1_259,rg_F1_585,rg_F1_995,rg_F10_000,rg_F12_589,rg_F15_849,rg_F19_953,rg_F2_512,rg_F3_162,rg_F3_981,rg_F5_012,rg_F6_310,rg_F7_943,physio_name,LargeGroup,region_name,region_level,region_id
174,36.275,-120.306,conterminousUS,PACIFIC MOUNTAIN SYSTEM,PACIFIC BORDER,CALIFORNIA COAST RANGES,plTs,2,-59.4903984,474.301,3,1,71,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.500863381,0.677749793,0.58059149,0.418517223,0.659382415,0.433687062,0.452002573,0.364397333,-0.250028633,-0.298047684,-0.032571032,-0.182510745,0.323473368,0.317341587,0.5881822,0.424972325,0.558207128,0.295620533,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.8072403,0.924145285,0.89946504,0.826665477,1.063164549,0.657166726,0.666224029,0.595379611,-0.049634834,0.031233113,-0.045603937,-0.442830627,0.542018332,0.463930867,0.701828368,0.427587696,0.568552982,0.397214119,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES,Tertiary rocks,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - plTs,1,92
175,36.138,-120.357,conterminousUS,PACIFIC MOUNTAIN SYSTEM,PACIFIC BORDER,CALIFORNIA COAST RANGES,Qa,1,-62.5732994,352.2,0,1,72,-9999.0,0.997207472,0.985831066,1.243539224,1.236408079,1.165140391,0.673367916,0.839551545,1.03855057,1.18555217,0.999815683,1.120610991,1.060487266,1.208933876,-0.009120359,-0.451182518,-0.603657087,-9999.0,1.137734648,1.17459115,1.029814579,0.783673765,0.455159797,-0.244138156,-9999.0,0.933100833,0.999837168,1.106922334,1.255927113,1.240253935,0.889150092,1.042333696,1.312296871,1.513695776,1.356045771,1.270232842,1.233102346,1.406876087,0.073662859,-0.226353262,-0.685497489,-9999.0,1.30599261,1.279108705,1.051587438,0.684261874,0.360288199,-0.228203985,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES,"Quaternary units, undifferentiated",PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - Qa,1,82
176,36.233,-120.333,conterminousUS,PACIFIC MOUNTAIN SYSTEM,PACIFIC BORDER,CALIFORNIA COAST RANGES,plTs,0,-58.9682999,446.988,3,1,71,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.842954258,0.831766265,0.771360073,0.996937275,0.766042624,1.021172005,1.025096968,0.474943755,0.603710612,0.598472884,0.703446419,1.138834326,1.225239032,1.529750199,1.116628737,0.998226138,0.783956162,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.040182525,1.15047694,1.157127142,1.370074542,0.972267542,1.244146876,1.253898637,0.661982251,0.906877727,0.63569542,0.424774671,1.364117564,1.3770729,1.637030667,1.137375246,1.005092026,0.863751236,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES,Tertiary rocks,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - plTs,1,92
177,36.233,-120.333,conterminousUS,PACIFIC MOUNTAIN SYSTEM,PACIFIC BORDER,CALIFORNIA COAST RANGES,plTs,0,-58.9682999,446.988,3,1,71,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.107026054,1.138728452,0.927379288,0.769424353,0.733916984,0.963771633,0.692377778,1.055412383,0.977869578,0.195618558,0.435675099,0.145859976,-0.075953789,1.135410739,1.240552818,1.503562379,1.119763082,1.039125505,0.321454983,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.265527446,1.344597209,1.113801077,1.097731192,1.1143474,1.370551663,0.892951503,1.242867518,1.214815075,0.38341595,0.725989683,0.126048737,-0.335278487,1.369717916,1.387555155,1.611885079,1.138865336,1.033500058,0.438963717,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES,Tertiary rocks,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - plTs,1,92
178,36.247,-120.314,conterminousUS,PACIFIC MOUNTAIN SYSTEM,PACIFIC BORDER,CALIFORNIA COAST RANGES,plTs,2,-60.6660004,454.209,3,1,71,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,0.608725516,0.605520328,0.547311168,0.536259859,0.737854241,0.300052096,0.280898927,0.41189752,0.551934454,0.19392844,0.504443243,0.807047383,0.57159416,0.683135418,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,1.044947778,0.847756607,0.808247593,0.813117021,0.897668273,0.621395255,0.293092926,0.136564762,0.809207317,0.372110821,0.664222104,0.82008069,0.572777339,0.791316158,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES,Tertiary rocks,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - plTs,1,92
179,36.247,-120.314,conterminousUS,PACIFIC MOUNTAIN SYSTEM,PACIFIC BORDER,CALIFORNIA COAST RANGES,plTs,2,-60.6660004,454.209,3,1,71,-9999.0,-9999.0,-9999.0,-9999.0,-0.019502548,1.14311141,0.812366574,0.759630128,0.921559713,0.785485348,0.751532544,0.715197198,0.749035297,0.568910937,0.110541162,-0.173669765,-0.341164416,-0.403341782,0.528674496,0.141585846,0.245576977,0.229417493,-0.202521408,0.05377945,-9999.0,-9999.0,-9999.0,-9999.0,0.172920113,1.315069362,1.039157434,0.962941538,1.203916359,1.146915813,1.13739953,0.906298321,0.955063307,0.796500786,0.335762134,0.166469015,-0.311396874,-0.644707345,0.738819288,0.326168692,0.384029855,0.2582167,-0.143807284,0.188526715,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES,Tertiary rocks,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - plTs,1,92
180,36.247,-120.314,conterminousUS,PACIFIC MOUNTAIN SYSTEM,PACIFIC BORDER,CALIFORNIA COAST RANGES,plTs,2,-60.6660004,454.209,3,1,71,-9999.0,-9999.0,-9999.0,-9999.0,0.613704581,1.049352627,0.770085903,0.73732702,0.991857277,0.803141495,0.749542313,0.720540106,0.745980679,0.60253074,0.263126935,0.091129678,-0.011821739,-9999.0,0.500287746,0.191891103,0.292030485,0.300201556,-0.042882178,0.184024998,-9999.0,-9999.0,-9999.0,-9999.0,0.718365576,1.205252269,0.992410048,0.93657287,1.270976446,1.190317838,1.148996023,0.898076186,0.950708021,0.813585264,0.478375688,0.427501839,0.007595224,-9999.0,0.731024683,0.359327946,0.422961358,0.32001999,0.009746346,0.317107022,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES,Tertiary rocks,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - plTs,1,92
181,36.209,-120.292,conterminousUS,PACIFIC MOUNTAIN SYSTEM,PACIFIC BORDER,CALIFORNIA COAST RANGES,plTs,2,-64.6381989,440.508,3,2,71,0.71048917,0.846975387,0.843815695,0.779471311,0.899682329,0.673309253,0.630619826,0.423515533,0.92069242,0.85737971,0.667485284,0.784443192,0.615516964,0.883490597,0.854060779,0.775511665,-0.261716237,-9999.0,0.478585046,0.521324395,0.427644495,0.681667941,0.321618878,0.672965125,0.834887944,1.04799341,1.081848914,0.958195701,1.173554668,1.026044521,1.026615204,0.794235082,1.308179169,1.289507455,1.095203679,1.007432353,0.862284479,1.120554323,1.010079862,1.050909914,-0.272694556,-9999.0,0.733090523,0.681695753,0.557500383,0.710995728,0.329432601,0.767374649,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES,Tertiary rocks,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - plTs,1,92
182,36.249,-120.343,conterminousUS,PACIFIC MOUNTAIN SYSTEM,PACIFIC BORDER,CALIFORNIA COAST RANGES,plTs,0,-58.9682999,451.062,3,0,71,-9999.0,0.81069706,0.829656767,0.858805948,0.880785908,0.879701386,1.220356774,0.793724138,1.357044365,1.249790339,1.398811696,1.629632758,1.258898578,0.858455842,-0.223093449,-0.382948684,0.257316034,0.093590179,1.510313285,0.815172883,0.691925159,0.346011519,0.038241415,-0.042480482,-9999.0,0.854586031,0.884292516,0.797375976,0.932045494,0.997400405,1.371879829,0.971964997,1.608562434,1.583096285,1.749912549,1.785216408,1.440469987,1.078704974,0.001228353,-0.008638586,0.240410719,-0.171224927,1.716162716,0.985864117,0.812104998,0.353042045,0.083374509,0.084175602,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES,Tertiary rocks,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - plTs,1,92
187,36.88857,-121.4141,conterminousUS,PACIFIC MOUNTAIN SYSTEM,PACIFIC BORDER,CALIFORNIA COAST RANGES,Qa,2,-45.3707008,215.54,0,2,72,0.586752994,1.205105604,1.547869284,1.579669519,1.562973771,1.685439696,2.092065309,1.611196189,1.760152191,1.405945225,1.585732837,1.650182636,1.074085787,1.052851842,-0.524693819,-0.302765739,-0.544098104,-0.320875982,0.799580185,0.837179557,1.080670404,0.573647501,0.093892513,-0.14911287,0.644123339,1.08160275,1.482690762,1.465280308,1.649569769,1.715746811,2.147510096,1.667309977,1.923650605,1.637008729,1.806192604,1.699707672,1.1182634,1.18001213,-0.562982141,-0.333821281,-0.853507981,-0.909225056,0.837229712,0.807430139,0.994665215,0.357159357,-0.13835083,-0.269217995,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES,"Quaternary units, undifferentiated",PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - Qa,1,82
