region_id,region_name,region_level,station_count
65,PACIFIC MOUNTAIN SYSTEM-COASTAL TROUGH-UnknownSection - UnknownGeoUnit,1,5
66,PACIFIC MOUNTAIN SYSTEM-LOWER CALIFORNIAN-UnknownSection - MZgr,1,37
67,PACIFIC MOUNTAIN SYSTEM-LOWER CALIFORNIAN-UnknownSection - MZm,1,5
68,PACIFIC MOUNTAIN SYSTEM-LOWER CALIFORNIAN-UnknownSection - Qa,1,11
69,PACIFIC MOUNTAIN SYSTEM-LOWER CALIFORNIAN-UnknownSection - Qao,1,9
70,PACIFIC MOUNTAIN SYSTEM-LOWER CALIFORNIAN-UnknownSection - Tertiary rocks,2,5
71,PACIFIC MOUNTAIN SYSTEM-LOWER CALIFORNIAN-UnknownSection - TpCim,1,5
72,PACIFIC MOUNTAIN SYSTEM-LOWER CALIFORNIAN-UnknownSection - eTs,1,12
73,PACIFIC MOUNTAIN SYSTEM-PACIFIC BOADER RANGES-UnknownSection - UnknownGeoUnit,1,6
74,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - Ks,1,21
75,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - Kse,1,6
76,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - Ksl,1,19
77,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - MZgr,1,25
78,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - MZm,1,32
79,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - MZms,1,55
80,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - MZum,1,17
81,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - QTs,1,98
82,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - Qa,1,272
83,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - Qao,1,106
84,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - Qs,1,21
85,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - Ti,1,5
86,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - Tvi,1,8
87,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - UnknownLargeGroup,2,5
88,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - eTs,1,16
89,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - mTs,1,107
90,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - oTs,1,7
91,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - paTs,1,7
92,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES - plTs,1,47
93,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES N - Kse,1,5
94,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES N - Ksl,1,13
95,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES N - MZm,1,27
96,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES N - MZms,1,47
97,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES N - MZum,1,10
98,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES N - QTs,1,13
99,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES N - Qa,1,49
100,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES N - Qao,1,25
101,"PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES N - Quaternary units, undifferentiated",2,7
102,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES N - TMZs,1,40
103,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES N - Tertiary rocks,2,8
104,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES N - Tvi,1,16
105,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA COAST RANGES N - plTs,1,11
106,PACIFIC MOUNTAIN SYSTEM-PACIFIC BORDER-CALIFORNIA TROUGH - MZgr,1,6
