freq,intercept,coeff_M,slope_Vs30_low,slope_Vs30_mid,slope_Vs30_high,r_squared
0.1,-5.24964986889985,2.071261608918355,1.4765070619988876,1.3289454844418267,0.33057130840846777,0.9730488664941007
0.1023292992280754,-5.210136454532667,2.060672148457596,1.4766619219140251,1.329631046704446,0.33081027423976395,0.9725352057406771
0.1047128548050899,-5.170858133157176,2.0499015498900692,1.4768174642744918,1.3303209273221497,0.3310502345709088,0.9720000083973586
0.1071519305237606,-5.131825542365308,2.0389511198328862,1.4769736932255522,1.331015158776843,0.33129119505490384,0.9714428634555868
0.1096478196143185,-5.093040538518679,2.0278098437838143,1.4771307266399707,1.3317144309898779,0.3315332632060706,0.9708629988058142
0.1122018454301963,-5.05452270975169,2.0164904419382315,1.477288462500702,1.332418178394411,0.3317763436606681,0.9702603722966792
0.1148153621496883,-5.0162835666070835,2.004995777755912,1.4774468940117624,1.333126371424601,0.33202043193061503,0.969634655030706
0.1174897554939529,-4.978333457361122,1.9933276446762636,1.477606025438129,1.3338390438204422,0.3322655337469897,0.9689854981667582
0.1202264434617412,-4.940682294917466,1.9814879420473974,1.477765861142189,1.3345562299629106,0.3325116549720514,0.9683125691067462
0.1230268770812381,-4.9033393901842,1.9694786724818374,1.477926405577991,1.335277964859631,0.3327588015881422,0.9676155520424351
0.1258925411794167,-4.866308472611042,1.9572929807085053,1.4780877373416317,1.3360047412470735,0.33300703433012424,0.966893889494693
0.1288249551693134,-4.829600070311858,1.9449374936476234,1.4782498210845738,1.3367363640684087,0.3332563234868813,0.9661474412504656
0.1318256738556407,-4.793223101237876,1.932419133212152,1.4784126226463632,1.3374726335965625,0.33350664519486756,0.9653760840975465
0.1348962882591653,-4.757182510050004,1.919740323506706,1.478576146588488,1.3382135860978814,0.3337580054846681,0.9645795787813175
0.1380384264602885,-4.721481655845207,1.9069035793225246,1.4787403975340507,1.3389592583564687,0.33401041045560986,0.9637577053706501
0.1412537544622754,-4.68612210961888,1.8939115047960022,1.4789053801462988,1.3397096875855425,0.3342638662410394,0.9629102637404411
0.1445439770745927,-4.651101193533544,1.8807614073572503,1.4790711392248945,1.3404651792443054,0.3345183999564922,0.9620369382400271
0.1479108388168207,-4.61641548810079,1.867453803007271,1.4792376937240899,1.3412258809310125,0.33477401887246006,0.9611375317606259
0.1513561248436208,-4.58206317908942,1.8539993628925922,1.479404989190642,1.3419914416405534,0.3350306955190405,0.9602121135263536
0.1548816618912481,-4.548036499296731,1.8404010454075368,1.479573030351017,1.3427618996985966,0.3352884359980501,0.9592605701356114
0.1584893192461113,-4.51432492143522,1.8266618894198454,1.4797418219025664,1.3435372935617793,0.33554724633498234,0.958282809998391
0.1621810097358929,-4.480915007073364,1.8127850148689966,1.4799113684741692,1.3443176616390324,0.33580713241810406,0.9572787638439112
0.165958690743756,-4.4477893812678495,1.7987716265903213,1.480081688012585,1.345103139991702,0.33606810330354797,0.9562483473154016
0.1698243652461744,-4.414924158016337,1.7846164507664113,1.4802528408146953,1.3458941852627044,0.33633017341875426,0.9551913946566901
0.1737800828749375,-4.382300879745421,1.7703335020274675,1.480424758553518,1.346690312904672,0.3365933265284539,0.9541081234674266
